[2017-04-15 20:38:20,997] Making new env: Pong-v0
200 2 50 0.1 0.01
iter 353, mean_pop -0.44, cur_reward -1.00, aver_reward -0.33
iter 354, mean_pop -0.24, cur_reward -1.00, aver_reward -0.39
iter 355, mean_pop -0.40, cur_reward -1.00, aver_reward -0.45
iter 356, mean_pop -0.44, cur_reward -1.00, aver_reward -0.51
iter 357, mean_pop -0.60, cur_reward -1.00, aver_reward -0.56
iter 358, mean_pop -0.32, cur_reward 1.00, aver_reward -0.40
iter 359, mean_pop -0.60, cur_reward -1.00, aver_reward -0.46
iter 360, mean_pop -0.56, cur_reward 1.00, aver_reward -0.32
iter 361, mean_pop -0.60, cur_reward -1.00, aver_reward -0.38
iter 362, mean_pop -0.52, cur_reward 1.00, aver_reward -0.25
iter 363, mean_pop -0.52, cur_reward -1.00, aver_reward -0.32
iter 364, mean_pop -0.32, cur_reward -1.00, aver_reward -0.39
iter 365, mean_pop -0.60, cur_reward -1.00, aver_reward -0.45
iter 366, mean_pop -0.40, cur_reward -1.00, aver_reward -0.51
iter 367, mean_pop -0.52, cur_reward 1.00, aver_reward -0.35
iter 368, mean_pop -0.28, cur_reward -1.00, aver_reward -0.42
iter 369, mean_pop -0.56, cur_reward -1.00, aver_reward -0.48
iter 370, mean_pop -0.44, cur_reward 1.00, aver_reward -0.33
iter 371, mean_pop -0.52, cur_reward -1.00, aver_reward -0.40
iter 372, mean_pop -0.56, cur_reward -1.00, aver_reward -0.46
iter 373, mean_pop -0.28, cur_reward -1.00, aver_reward -0.51
iter 374, mean_pop -0.52, cur_reward -1.00, aver_reward -0.56
iter 375, mean_pop -0.20, cur_reward -1.00, aver_reward -0.60
iter 376, mean_pop -0.32, cur_reward -1.00, aver_reward -0.64
iter 377, mean_pop -0.24, cur_reward -1.00, aver_reward -0.68
iter 378, mean_pop -0.40, cur_reward 1.00, aver_reward -0.51
iter 379, mean_pop -0.68, cur_reward -1.00, aver_reward -0.56
iter 380, mean_pop -0.52, cur_reward 1.00, aver_reward -0.40
iter 381, mean_pop -0.40, cur_reward 1.00, aver_reward -0.26
iter 382, mean_pop -0.24, cur_reward 1.00, aver_reward -0.14
iter 383, mean_pop -0.44, cur_reward -1.00, aver_reward -0.22
iter 384, mean_pop -0.36, cur_reward -1.00, aver_reward -0.30
iter 385, mean_pop -0.32, cur_reward -1.00, aver_reward -0.37
iter 386, mean_pop -0.44, cur_reward -1.00, aver_reward -0.43
iter 387, mean_pop -0.44, cur_reward -1.00, aver_reward -0.49
iter 388, mean_pop -0.36, cur_reward -1.00, aver_reward -0.54
iter 389, mean_pop -0.28, cur_reward -1.00, aver_reward -0.59
iter 390, mean_pop -0.08, cur_reward -1.00, aver_reward -0.63
iter 391, mean_pop -0.20, cur_reward -1.00, aver_reward -0.67
iter 392, mean_pop -0.28, cur_reward -1.00, aver_reward -0.70
